STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:12839,MIAMI INTERNATIONAL AIRPORT FL US,8.8,25.7881,-80.3169,2018-01-27 00:53,FM-15,SCT:04 30 BKN:07 40 OVC:08 50,10.00,,72,22.2,65,18.5,61,16.1,68,15,080,32,30.26,8,,30.29,,30.29,,,,,,,,,,0707,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12839,MIAMI INTERNATIONAL AIRPORT FL US,8.8,25.7881,-80.3169,2018-01-27 01:00,FM-12,26,,,72,22.2,65,18.5,61,16.1,68,15,080,,30.26,8,+0.05,30.29,,,73,68,71,2.5,,,,0,6,0707,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12839,MIAMI INTERNATIONAL AIRPORT FL US,8.8,25.7881,-80.3169,2018-01-27 01:53,FM-15,SCT:04 32 BKN:07 42 OVC:08 50,10.00,,72,22.2,65,18.2,60,15.6,66,20,080,31,30.25,,,30.28,0.00,30.28,,,,,,,,,,0707,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12839,MIAMI INTERNATIONAL AIRPORT FL US,8.8,25.7881,-80.3169,2018-01-27 02:53,FM-15,FEW:02 32 SCT:04 40 BKN:07 50,10.00,,72,22.2,65,18.2,60,15.6,66,16,080,26,30.23,,,30.27,0.00,30.26,,,,,,,,,,0707,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12839,MIAMI INTERNATIONAL AIRPORT FL US,8.8,25.7881,-80.3169,2018-01-27 03:53,FM-15,FEW:02 32 SCT:04 40 BKN:07 55,10.00,,72,22.2,64,17.6,58,14.4,61,18,080,25,30.22,8,,30.25,0.00,30.25,,,,,,,,,,0707,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12839,MIAMI INTERNATIONAL AIRPORT FL US,8.8,25.7881,-80.3169,2018-01-27 04:00,FM-12,26,,,72,22.2,64,17.6,58,14.4,61,18,080,,30.22,8,+0.04,30.25,,,,,,,,,,,,0707,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12839,MIAMI INTERNATIONAL AIRPORT FL US,8.8,25.7881,-80.3169,2018-01-27 04:53,FM-15,FEW:02 32 BKN:07 40 BKN:07 55,10.00,,72,22.2,64,17.6,58,14.4,61,16,080,24,30.22,,,30.25,0.00,30.25,,,,,,,,,,0707,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12839,MIAMI INTERNATIONAL AIRPORT FL US,8.8,25.7881,-80.3169,2018-01-27 05:53,FM-15,BKN:07 30 BKN:07 38 BKN:07 55,10.00,,72,22.2,65,18.5,61,16.1,68,17,080,24,30.23,,,30.26,0.00,30.26,,,,,,,,,,0707,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12839,MIAMI INTERNATIONAL AIRPORT FL US,8.8,25.7881,-80.3169,2018-01-27 06:53,FM-15,SCT:04 29 BKN:07 35 BKN:07 50,10.00,,72,22.2,66,18.8,62,16.7,71,20,080,29,30.24,3,,30.27,0.00,30.27,,,,,,,,,,0707,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:12839,MIAMI INTERNATIONAL AIRPORT FL US,8.8,25.7881,-80.3169,2018-01-27 07:00,FM-12,26,,,72,22.2,66,18.8,62,16.7,71,20,080,,30.24,3,-0.02,30.27,,,78,69,74,5.5,,,,0,9,0707,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
