"STATION","DATE","TMAX","TMAX_ATTRIBUTES"
"USW00012839","2015-01-26","77",",,W"
"USW00012839","2015-01-27","70",",,W"
"USW00012839","2015-01-28","69",",,W"
"USW00012839","2015-01-29","73",",,W"
"USW00012839","2015-01-30","76",",,W"
"USW00012839","2015-01-31","75",",,W"
"USW00012839","2015-02-01","76",",,W"
"USW00012839","2015-02-02","85",",,W"
"USW00012839","2015-02-03","77",",,W"
"USW00012839","2015-02-04","77",",,W"
"USW00012839","2015-02-05","74",",,W"
"USW00012839","2015-02-06","75",",,W"
"USW00012839","2015-02-07","73",",,W"
"USW00012839","2015-02-08","78",",,W"
"USW00012839","2015-02-09","79",",,W"
"USW00012839","2015-02-10","76",",,W"
"USW00012839","2015-02-11","73",",,W"
"USW00012839","2015-02-12","76",",,W"
"USW00012839","2015-02-13","75",",,W"
"USW00012839","2015-02-14","67",",,W"
"USW00012839","2015-02-15","76",",,W"
"USW00012839","2015-02-16","75",",,W"
"USW00012839","2015-02-17","83",",,W"
"USW00012839","2015-02-18","73",",,W"
"USW00012839","2015-02-19","60",",,W"
"USW00012839","2015-02-20","66",",,W"
"USW00012839","2015-02-21","76",",,W"
"USW00012839","2015-02-22","81",",,W"
"USW00012839","2015-02-23","83",",,W"
"USW00012839","2015-02-24","85",",,W"
"USW00012839","2015-02-25","83",",,W"
"USW00012839","2015-02-26","87",",,W"
"USW00012839","2015-02-27","80",",,W"
"USW00012839","2015-02-28","80",",,W"
"USW00012839","2015-03-01","83",",,W"
"USW00012839","2015-03-02","82",",,W"
"USW00012839","2015-03-03","83",",,W"
"USW00012839","2015-03-04","82",",,W"
"USW00012839","2015-03-05","84",",,W"
"USW00012839","2015-03-06","85",",,W"
"USW00012839","2015-03-07","80",",,W"
"USW00012839","2015-03-08","76",",,W"
"USW00012839","2015-03-09","83",",,W"
"USW00012839","2015-03-10","84",",,W"
"USW00012839","2015-03-11","85",",,W"
"USW00012839","2015-03-12","85",",,W"
"USW00012839","2015-03-13","84",",,W"
"USW00012839","2015-03-14","84",",,W"
"USW00012839","2015-03-15","84",",,W"
"USW00012839","2015-03-16","84",",,W"
"USW00012839","2015-03-17","86",",,W"
"USW00012839","2015-03-18","87",",,W"
"USW00012839","2015-03-19","85",",,W"
"USW00012839","2015-03-20","86",",,W"
"USW00012839","2015-03-21","86",",,W"
"USW00012839","2015-03-22","88",",,W"
"USW00012839","2015-03-23","89",",,W"
"USW00012839","2015-03-24","84",",,W"
"USW00012839","2015-03-25","89",",,W"
"USW00012839","2015-03-26","87",",,W"
"USW00012839","2015-03-27","91",",,W"
"USW00012839","2015-03-28","73",",,W"
"USW00012839","2015-03-29","77",",,W"
"USW00012839","2015-03-30","80",",,W"
"USW00012839","2015-03-31","81",",,W"
"USW00012839","2015-04-01","84",",,W"
"USW00012839","2015-04-02","83",",,W"
"USW00012839","2015-04-03","83",",,W"
"USW00012839","2015-04-04","85",",,W"
"USW00012839","2015-04-05","85",",,W"
"USW00012839","2015-04-06","85",",,W"
"USW00012839","2015-04-07","86",",,W"
"USW00012839","2015-04-08","85",",,W"
"USW00012839","2015-04-09","85",",,W"
"USW00012839","2015-04-10","86",",,W"
"USW00012839","2015-04-11","86",",,W"
"USW00012839","2015-04-12","86",",,W"
"USW00012839","2015-04-13","86",",,W"
"USW00012839","2015-04-14","86",",,W"
"USW00012839","2015-04-15","86",",,W"
"USW00012839","2015-04-16","87",",,W"
"USW00012839","2015-04-17","89",",,W"
"USW00012839","2015-04-18","90",",,W"
"USW00012839","2015-04-19","90",",,W"
"USW00012839","2015-04-20","92",",,W"
"USW00012839","2015-04-21","81",",,W"
"USW00012839","2015-04-22","84",",,W"
"USW00012839","2015-04-23","87",",,W"
"USW00012839","2015-04-24","92",",,W"
"USW00012839","2015-04-25","90",",,W"
"USW00012839","2015-04-26","96",",,W"
"USW00012839","2015-04-27","94",",,W"
