"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00284987","40.29696","-74.00153","9.1","2015-01-01","41","22","31"
"USC00284987","40.29696","-74.00153","9.1","2015-01-02","44","26","37"
"USC00284987","40.29696","-74.00153","9.1","2015-01-03","48","31","48"
"USC00284987","40.29696","-74.00153","9.1","2015-01-04","61","40","40"
"USC00284987","40.29696","-74.00153","9.1","2015-01-05","40","19","20"
"USC00284987","40.29696","-74.00153","9.1","2015-01-06","22","17","18"
"USC00284987","40.29696","-74.00153","9.1","2015-01-07","25","7","8"
"USC00284987","40.29696","-74.00153","9.1","2015-01-08","27","7","27"
"USC00284987","40.29696","-74.00153","9.1","2015-01-09","35","16","16"
"USC00284987","40.29696","-74.00153","9.1","2015-01-10","23","15","17"
"USC00284987","40.29696","-74.00153","9.1","2015-01-11","38","16","37"
"USC00284987","40.29696","-74.00153","9.1","2015-01-12","38","34","35"
"USC00284987","40.29696","-74.00153","9.1","2015-01-13","35","23","26"
"USC00284987","40.29696","-74.00153","9.1","2015-01-14","32","25","28"
"USC00284987","40.29696","-74.00153","9.1","2015-01-15","34","27","29"
"USC00284987","40.29696","-74.00153","9.1","2015-01-16","43","16","16"
"USC00284987","40.29696","-74.00153","9.1","2015-01-17","33","16","32"
"USC00284987","40.29696","-74.00153","9.1","2015-01-18","47","32","32"
"USC00284987","40.29696","-74.00153","9.1","2015-01-19","44","30","30"
"USC00284987","40.29696","-74.00153","9.1","2015-01-20","42","25","30"
"USC00284987","40.29696","-74.00153","9.1","2015-01-21","41","30","30"
"USC00284987","40.29696","-74.00153","9.1","2015-01-22","40","24","24"
"USC00284987","40.29696","-74.00153","9.1","2015-01-23","40","22","35"
"USC00284987","40.29696","-74.00153","9.1","2015-01-24","40","22","33"
"USC00284987","40.29696","-74.00153","9.1","2015-01-25","44","28","28"
"USC00284987","40.29696","-74.00153","9.1","2015-01-26","30","21","21"
"USC00284987","40.29696","-74.00153","9.1","2015-01-27","27","14","15"
"USC00284987","40.29696","-74.00153","9.1","2015-01-28","34","11","11"
"USC00284987","40.29696","-74.00153","9.1","2015-01-29","37","11","23"
"USC00284987","40.29696","-74.00153","9.1","2015-01-30","38","14","14"
"USC00284987","40.29696","-74.00153","9.1","2015-01-31","27","13","23"
"USC00284987","40.29696","-74.00153","9.1","2015-02-01","43","23","43"
"USC00284987","40.29696","-74.00153","9.1","2015-02-02","44","13","13"
"USC00284987","40.29696","-74.00153","9.1","2015-02-03","26","12","25"
"USC00284987","40.29696","-74.00153","9.1","2015-02-04","48","25","36"
"USC00284987","40.29696","-74.00153","9.1","2015-02-05","37","11","11"
"USC00284987","40.29696","-74.00153","9.1","2015-02-06","37","11","26"
"USC00284987","40.29696","-74.00153","9.1","2015-02-07","39","26","37"
"USC00284987","40.29696","-74.00153","9.1","2015-02-08","43","27","27"
"USC00284987","40.29696","-74.00153","9.1","2015-02-09","40","26","26"
"USC00284987","40.29696","-74.00153","9.1","2015-02-10","32","23","29"
"USC00284987","40.29696","-74.00153","9.1","2015-02-11","41","8","8"
"USC00284987","40.29696","-74.00153","9.1","2015-02-12","26","7","21"
"USC00284987","40.29696","-74.00153","9.1","2015-02-13","22","8","21"
"USC00284987","40.29696","-74.00153","9.1","2015-02-14","34","10","10"
"USC00284987","40.29696","-74.00153","9.1","2015-02-15","19","2","17"
"USC00284987","40.29696","-74.00153","9.1","2015-02-16","20","2","17"
"USC00284987","40.29696","-74.00153","9.1","2015-02-17","26","9","10"
"USC00284987","40.29696","-74.00153","9.1","2015-02-18","31","9","14"
"USC00284987","40.29696","-74.00153","9.1","2015-02-19","31","0","1"
"USC00284987","40.29696","-74.00153","9.1","2015-02-20","18","1","7"
"USC00284987","40.29696","-74.00153","9.1","2015-02-21","34","7","34"
"USC00284987","40.29696","-74.00153","9.1","2015-02-22","43","29","32"
"USC00284987","40.29696","-74.00153","9.1","2015-02-23","32","4","4"
"USC00284987","40.29696","-74.00153","9.1","2015-02-24","23","4","16"
"USC00284987","40.29696","-74.00153","9.1","2015-02-25","38","15","26"
"USC00284987","40.29696","-74.00153","9.1","2015-02-26","29","19","22"
"USC00284987","40.29696","-74.00153","9.1","2015-02-27","32","13","14"
"USC00284987","40.29696","-74.00153","9.1","2015-02-28","29","13","21"
"USC00284987","40.29696","-74.00153","9.1","2015-03-01","31","21","31"
"USC00284987","40.29696","-74.00153","9.1","2015-03-02","31","19","25"
"USC00284987","40.29696","-74.00153","9.1","2015-03-03","41","19","37"
"USC00284987","40.29696","-74.00153","9.1","2015-03-04","45","33","33"
"USC00284987","40.29696","-74.00153","9.1","2015-03-05","33","10","11"
"USC00284987","40.29696","-74.00153","9.1","2015-03-06","26","9","17"
"USC00284987","40.29696","-74.00153","9.1","2015-03-07","40","17","27"
"USC00284987","40.29696","-74.00153","9.1","2015-03-08","50","26","37"
"USC00284987","40.29696","-74.00153","9.1","2015-03-09","55","30","31"
"USC00284987","40.29696","-74.00153","9.1","2015-03-10","50","30","46"
"USC00284987","40.29696","-74.00153","9.1","2015-03-11","58","42","42"
"USC00284987","40.29696","-74.00153","9.1","2015-03-12","52","31","44"
"USC00284987","40.29696","-74.00153","9.1","2015-03-13","50","28","42"
"USC00284987","40.29696","-74.00153","9.1","2015-03-14","53","41","41"
"USC00284987","40.29696","-74.00153","9.1","2015-03-15","45","30","30"
"USC00284987","40.29696","-74.00153","9.1","2015-03-16","49","28","49"
"USC00284987","40.29696","-74.00153","9.1","2015-03-17","62","30","31"
"USC00284987","40.29696","-74.00153","9.1","2015-03-18","42","24","25"
"USC00284987","40.29696","-74.00153","9.1","2015-03-19","43","25","35"
"USC00284987","40.29696","-74.00153","9.1","2015-03-20","39","30","31"
"USC00284987","40.29696","-74.00153","9.1","2015-03-21","46","30","35"
"USC00284987","40.29696","-74.00153","9.1","2015-03-22","44","25","25"
"USC00284987","40.29696","-74.00153","9.1","2015-03-23","41","24","30"
"USC00284987","40.29696","-74.00153","9.1","2015-03-24","36","23","23"
"USC00284987","40.29696","-74.00153","9.1","2015-03-25","43","23","40"
"USC00284987","40.29696","-74.00153","9.1","2015-03-26","66","40","42"
"USC00284987","40.29696","-74.00153","9.1","2015-03-27","46","36","36"
"USC00284987","40.29696","-74.00153","9.1","2015-03-28","44","25","25"
"USC00284987","40.29696","-74.00153","9.1","2015-03-29","45","25","38"
"USC00284987","40.29696","-74.00153","9.1","2015-03-30","55","36","38"
"USC00284987","40.29696","-74.00153","9.1","2015-03-31","49","33","33"
"USC00284987","40.29696","-74.00153","9.1","2015-04-01","52","30","37"
"USC00284987","40.29696","-74.00153","9.1","2015-04-02","60","35","60"
"USC00284987","40.29696","-74.00153","9.1","2015-04-03","64","48","50"
"USC00284987","40.29696","-74.00153","9.1","2015-04-04","60","36","41"
"USC00284987","40.29696","-74.00153","9.1","2015-04-05","63","37","37"
"USC00284987","40.29696","-74.00153","9.1","2015-04-06","65","37","59"
"USC00284987","40.29696","-74.00153","9.1","2015-04-07","62","41","41"
"USC00284987","40.29696","-74.00153","9.1","2015-04-08","42","37","37"
"USC00284987","40.29696","-74.00153","9.1","2015-04-09","41","37","40"
"USC00284987","40.29696","-74.00153","9.1","2015-04-10","61","40","50"
"USC00284987","40.29696","-74.00153","9.1","2015-04-11","62","35","36"
"USC00284987","40.29696","-74.00153","9.1","2015-04-12","56","35","41"
"USC00284987","40.29696","-74.00153","9.1","2015-04-13","62","41","62"
"USC00284987","40.29696","-74.00153","9.1","2015-04-14","62","49","49"
"USC00284987","40.29696","-74.00153","9.1","2015-04-15","70","49","51"
"USC00284987","40.29696","-74.00153","9.1","2015-04-16","58","47","54"
"USC00284987","40.29696","-74.00153","9.1","2015-04-17","72","51","51"
"USC00284987","40.29696","-74.00153","9.1","2015-04-18","70","48","49"
"USC00284987","40.29696","-74.00153","9.1","2015-04-19","52","46","47"
"USC00284987","40.29696","-74.00153","9.1","2015-04-20","59","47","54"
"USC00284987","40.29696","-74.00153","9.1","2015-04-21","66","45","46"
"USC00284987","40.29696","-74.00153","9.1","2015-04-22","62","39","39"
"USC00284987","40.29696","-74.00153","9.1","2015-04-23","51","37","38"
"USC00284987","40.29696","-74.00153","9.1","2015-04-24","55","31","34"
"USC00284987","40.29696","-74.00153","9.1","2015-04-25","58","34","46"
"USC00284987","40.29696","-74.00153","9.1","2015-04-26","56","40","45"
"USC00284987","40.29696","-74.00153","9.1","2015-04-27","57","38","47"
"USC00284987","40.29696","-74.00153","9.1","2015-04-28","64","47","52"
"USC00284987","40.29696","-74.00153","9.1","2015-04-29","73","48","49"
"USC00284987","40.29696","-74.00153","9.1","2015-04-30","55","46","47"
"USC00284987","40.29696","-74.00153","9.1","2015-05-01","55","41","43"
"USC00284987","40.29696","-74.00153","9.1","2015-05-02","64","43","49"
"USC00284987","40.29696","-74.00153","9.1","2015-05-03","66","41","47"
"USC00284987","40.29696","-74.00153","9.1","2015-05-04","76","46","64"
"USC00284987","40.29696","-74.00153","9.1","2015-05-05","78","57","66"
"USC00284987","40.29696","-74.00153","9.1","2015-05-06","69","46","46"
"USC00284987","40.29696","-74.00153","9.1","2015-05-07","65","46","53"
"USC00284987","40.29696","-74.00153","9.1","2015-05-08","70","53","55"
"USC00284987","40.29696","-74.00153","9.1","2015-05-09","69","54","59"
"USC00284987","40.29696","-74.00153","9.1","2015-05-10","74","54","62"
"USC00284987","40.29696","-74.00153","9.1","2015-05-11","70","49","52"
"USC00284987","40.29696","-74.00153","9.1","2015-05-12","86","52","58"
"USC00284987","40.29696","-74.00153","9.1","2015-05-13","85","49","59"
"USC00284987","40.29696","-74.00153","9.1","2015-05-14","66","50","53"
"USC00284987","40.29696","-74.00153","9.1","2015-05-15","67","53","60"
"USC00284987","40.29696","-74.00153","9.1","2015-05-16","69","60","67"
"USC00284987","40.29696","-74.00153","9.1","2015-05-17","77","66","67"
"USC00284987","40.29696","-74.00153","9.1","2015-05-18","69","56","57"
"USC00284987","40.29696","-74.00153","9.1","2015-05-19","73","56","56"
"USC00284987","40.29696","-74.00153","9.1","2015-05-20","65","46","49"
"USC00284987","40.29696","-74.00153","9.1","2015-05-21","57","49","50"
"USC00284987","40.29696","-74.00153","9.1","2015-05-22","75","49","51"
"USC00284987","40.29696","-74.00153","9.1","2015-05-23","76","50","50"
"USC00284987","40.29696","-74.00153","9.1","2015-05-24","71","50","59"
"USC00284987","40.29696","-74.00153","9.1","2015-05-25","79","58","63"
"USC00284987","40.29696","-74.00153","9.1","2015-05-26","79","63","65"
"USC00284987","40.29696","-74.00153","9.1","2015-05-27","78","57","59"
"USC00284987","40.29696","-74.00153","9.1","2015-05-28","84","57","65"
"USC00284987","40.29696","-74.00153","9.1","2015-05-29","75","62","67"
"USC00284987","40.29696","-74.00153","9.1","2015-05-30","76","67","70"
"USC00284987","40.29696","-74.00153","9.1","2015-05-31","82","56","57"
"USC00284987","40.29696","-74.00153","9.1","2015-06-01","65","50","51"
"USC00284987","40.29696","-74.00153","9.1","2015-06-02","55","51","52"
"USC00284987","40.29696","-74.00153","9.1","2015-06-03","60","52","55"
"USC00284987","40.29696","-74.00153","9.1","2015-06-04","62","54","54"
"USC00284987","40.29696","-74.00153","9.1","2015-06-05","61","54","60"
"USC00284987","40.29696","-74.00153","9.1","2015-06-06","78","51","55"
"USC00284987","40.29696","-74.00153","9.1","2015-06-07","66","55","63"
"USC00284987","40.29696","-74.00153","9.1","2015-06-08","73","62","67"
"USC00284987","40.29696","-74.00153","9.1","2015-06-09","84","60","60"
"USC00284987","40.29696","-74.00153","9.1","2015-06-10","77","60","67"
"USC00284987","40.29696","-74.00153","9.1","2015-06-11","91","67","73"
"USC00284987","40.29696","-74.00153","9.1","2015-06-12","84","73","77"
