STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/14/2013,0,",,N",0,",,N",,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/15/2013,0,"T,,N",,,,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/16/2013,0.41,",,N",,,,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/17/2013,0,"T,,N",,,,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/18/2013,4.76,",,N",,,,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/19/2013,1.04,",,N",,,,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/20/2013,0.1,",,N",,,,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/21/2013,0,",,N",0,",,N",,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/22/2013,0,",,N",0,",,N",,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/23/2013,0,"T,,N",,,,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/24/2013,0.59,",,N",,,,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/25/2013,0,"T,,N",,,,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/26/2013,0.02,",,N",,,,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/27/2013,0,",,N",0,",,N",,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/28/2013,0.03,",,N",,,,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/29/2013,0,"T,,N",,,,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,4/30/2013,0,",,N",0,",,N",,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,5/1/2013,0,",,N",0,",,N",,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,5/2/2013,0,",,N",0,",,N",,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,5/3/2013,0,",,N",0,",,N",,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,5/4/2013,0.09,",,N",,,,,,,,
US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.9957,-87.6918,181.4,5/5/2013,0,",,N",0,",,N",,,,,,
